how's your mother?	hur mår din mor?
tom isn't a nice guy.	tom är inte en sympatisk kille.
be cool.	ta det lugnt.
i let tom down.	jag övergav tom.
tom is coordinating this activity.	tom samordnar denna verksamhet.
i never really understood what happened.	jag förstod aldrig riktigt vad som hände.
do you think there is something in there?	tror du att det finns något därinne?
we will have to postpone the meeting.	vi kommer att måsta senarelägga mötet.
a tiger has escaped from the zoo.	en tiger har rymt från zoot.
sami went through layla's pictures on facebook.	sami gick igenom laylas bilder på facebook.
i know you're busy.	jag vet att du är upptagen.
i am palestinian.	jag är palestinier.
you can head on home.	du kan börja gå hemåt.
i tossed and turned all night.	jag låg och vred mig hela natten.
he crashed.	han kraschade.
i knew you knew the answer.	jag visste att du kunde svaret.
don't mention it!	det var så lite!
i've seen you play tennis.	jag har sett dig spela tennis.
what are you washing?	vad tvättar du?
give it a second.	ge den en sekund.
i have brothers.	jag har bröder.
the room seems awfully dark and spooky.	rummet verkar väldigt mörkt och kusligt.
how is it spelled?	hur stavas det?
we won the contest!	vi vann tävlingen!
she shrieked with delight.	hon skrek av förtjusning.
i assume that this is the problem.	jag antar att det här är problemet.
sami slipped in the tub.	sami halkade i badkaret.
and this is my page.	och detta är min sida.
we left early in order to get a head start on the trip.	vi åkte tidigt för att få ett försprång på resan.
i can't understand.	jag kan inte förstå.
i'd better get moving.	det är bäst att jag rör på mig.
layla was seeing other men.	layla träffade andra män.
the game was postponed due to rain.	matchen sköts upp på grund av regn.
the noise will wake the baby up.	ljudet kommer att väcka bebisen.
it was easier to do than i had expected.	det var lättare att göra än jag hade tänkt mig.
does tom ever smile?	ler tom någonsin?
i hope you can help.	jag hoppas att du kan hjälpa till.
we have to postpone our departure.	vi måste skjuta upp vår avresa.
it's made of leather.	den är gjord av läder.
hi!	tjena!
i saw tom less than an hour ago.	jag såg tom för mindre än en timme sedan.
these women are my aunts.	de här kvinnorna är mina mostrar.
i want to have my own room.	jag vill ha ett eget rum.
do we know you?	känner vi er?
tom didn't scare me.	tom skrämde mig inte.
that's one of mine.	den där är en av mina.
when does tom need it?	när behöver tom det?
which shelf is it on?	vilken hylla är det på?
no one is doing anything.	ingen gör någonting.
i couldn't get to sleep.	jag kunde inte somna.
i wonder if tom is telling the truth.	jag undrar om tom talar sanning.
doors ain't as bad as you think.	dörrar är inte så illa som du tror.
pus has formed in the wound.	var har bildats i såret.
i like your voice.	jag gillar din röst.
i've actually never seen it.	jag har faktiskt aldrig sett det.
we looked at each other.	vi såg på varandra.
only then did i realize what he meant.	endast då förstod jag vad han menade.
i've got to find him.	jag måste hitta honom.
do you like running?	tycker du om att springa?
i'll be back in ten minutes.	jag kommer tillbaka om tio minuter.
i'm not used to it.	jag är inte van vid det.
tom's friendly.	tom är vänlig.
this chair isn't comfortable.	den här stolen är inte bekväm.
christianity has many followers.	kristendomen har många anhängare.
can i talk to tom?	kan jag tala med tom?
let me get it.	låt mig hämta det.
go home and change.	gå hem och byt kläder.
i'm on the wrong bus.	jag sitter på fel buss.
she was right in the middle of cutting cucumbers.	hon höll just på att skära upp gurkor.
can i speak to you for a moment please?	skulle jag kunna få prata med dig en stund?
soccer is more popular than tennis.	fotboll är mer populärt än tennis.
it is thursday.	det är torsdag.
we don't want to scare the children.	vi vill inte skrämma barnen.
i can't stand the sight of blood.	jag klarar inte av att se blod.
can i get a refund?	kan jag få pengarna tillbaka?
dinner's ready!	middagen är färdig!
humor me.	blidka mig.
why are you looking at me like that?	varför tittar du på mig på det där sättet?
no idea.	ingen aning.
my twin brother is so gullible.	min tvillingbror är så lättrogen.
why are you shaking?	varför skakar du?
i don't expect you to be my friend.	jag förväntar mig inte att du ska vara min vän.
tom knows he's right.	tom vet att han har rätt.
don't let tom see you.	låt inte tom se dig.
he reached his goal.	han nådde sitt mål.
he does not listen.	han lyssnar inte.
don't read this sentence.	läs inte denna mening.
my grandfather is 90 years old and very healthy.	min morfar är 90 år gammal och mycket frisk.
i want to become a doctor.	jag vill bli läkare.
it's a great joy to see your own sentences translated into a multitude of other languages.	det är en stor glädje att se ens egna meningar översatta till en mängd andra språk.
my dream is to study abroad.	min dröm är att studera utomlands.
breakfast is served at seven a.m.	frukosten serveras klockan sju.
tom could be anywhere.	tom skulle kunna vara var som helst.
i can try that.	det kan jag försöka göra.
i'm waiting for you. when are you ready?	jag väntar på dig. när är du klar?
it has to be there.	den måste vara där.
i don't know tom anymore.	jag känner inte tom längre.
all the lights in yanni's apartment were on.	alla lampor i yannis lägenhet var på.
where do you use it?	var använder man den?
i am going to think about it.	jag ska tänka på det.
i totally get that.	det kan jag helt och hållet förstå.
the tower is three hundred and twenty-one meters high.	tornet är trehundratjugoen meter högt.
do you know what i mean?	vet du vad jag menar?
you're my child.	du är mitt barn.
we're on schedule.	vi håller tidtabellen.
if you haven't the energy to do the washing up, get a dishwasher.	om du inte orkar diska, skaffa diskmaskin.
do you like chocolate pudding?	tycker du om chokladpudding?
i didn't drink milk.	jag drack inte mjölk.
all is quiet again.	allt är lugnt igen.
the dentist pulled out her bad tooth.	tandläkaren drog ut hennes dåliga tand.
it's part of my job.	det är en del av mitt arbete.
he is the tallest boy.	han är den längsta pojken.
i'm ready if you are.	jag är redo om du är det.
mary is very shy.	mary är väldigt blyg.
i am hungry because i did not eat lunch.	jag är hungrig för jag har inte ätit lunch.
my chain-saw is broken.	min motorsåg är trasig.
they are short and thin.	de är korta och smala.
listen to your father!	lyssna på din far!
try to convince them to help us.	försök att övertyga dem att hjälpa oss.
we didn't see you.	vi såg inte er.
i'll take you on at tennis.	jag utmanar dig på tennis.
tom has an underscore in his password.	tom har ett understreck i sitt lösenord.
i don't have time to read.	jag har inte tid att läsa.
we can't assume this money is tom's.	vi kan inte anta att dessa pengar är toms.
do you meet her often?	träffar du henne ofta?
you don't seem to trust me.	du verkar inte lita på mig.
the book is written in french.	boken är skriven på franska.
do you like pasta?	gillar du pasta?
the point is whether she will read the letter or not.	poängen är huruvida hon kommer att läsa brevet eller ej.
we have to wait for him.	vi måste vänta på honom.
do you know where?	vet du var?
i wrote to tom.	jag skrev till tom.
write a short text about yourself.	skriv en kort text om dig själv.
my mother loves music.	min mor älskar musik.
i can't really do that.	jag kan inte riktigt göra det.
everybody loved tom.	alla älskade tom.
you're arrogant.	ni är arroganta.
don't you know that he passed away two years ago?	vet du inte att han gick bort för två år sedan?
that'll make me happy.	det kommer att göra mig lycklig.
i've read ten books this month.	jag har läst tio böcker den här månaden.
hurry up. otherwise, we'll be late to lunch.	skynda er. annars kommer vi försent till lunchen.
tom was incredible.	tom var otrolig.
is it too little?	är den för liten?
i live in japan.	jag bor i japan.
and again he was drunk as anything.	och återigen var han hur full som helst.
he has a lot of books.	han har en massa böcker.
you seem to have mistaken me for my older brother.	du verkar ha förväxlat mig med min storebror.
tom knows mary's dog's name.	tom vet vad marys hund heter.
brother or sister, both are siblings.	broder eller syster, båda är syskon.
i knew it wasn't you.	jag visste att det inte var ni.
live and let live.	lev och låt leva.
people are especially fascinated by that which is furthest from them.	människor är särskilt fascinerade av det som är längst ifrån dem.
no one told us.	ingen berättade det för oss.
what did tom get you?	vad köpte tom till dig?
i'm glad you like tom.	det gläder mig att du tycker om tom.
she relied on the medicine as a last resort.	medicinen var hennes sista utväg.
i am happy.	jag är glad.
i can take the rest.	jag kan ta resten.
no one was listening to tom.	ingen lyssnade på tom.
i have a friend whose name is tom.	jag har en vän som heter tom.
mom remained in the car while dad shopped.	mamma stannade i bilen medan pappa handlade.
they want me to join them.	de vill att jag kommer med dem.
argon is a noble gas.	argon är en ädelgas.
am i talking too fast?	talar jag för snabbt?
she sells shoes.	hon säljer skor.
i feel naked without accessories.	utan accessoarer känner jag mig naken.
why always me?	varför alltid jag?
tom's worried.	tom är orolig.
i'm not safe here.	det är inte säkert här.
cousin marriage increases the risk of hereditary disease.	kusingifte ökar risken för ärftliga sjukdomar.
stay positive.	se det positiva.
tom is used to making quick decisions.	tom är van att ta snabba beslut.
can you move it?	kan du flytta den?
paris is france's capital.	paris är frankrikes huvudstad.
who bought this?	vem köpte den här?
i want tom to go to boston to visit his uncle.	jag vill att tom ska åka till boston för att besöka sin farbror.
we're the new owners.	vi är de nya ägarna.
how long was tom here?	hur länge var tom här?
you make me happy.	du gör mig lycklig.
she seems to be fond of talking about herself.	hon verkar vara förtjust med att prata om sig själv.
flying a kite can be dangerous.	att flyga drake kan vara farligt.
i am harvesting wheat.	jag skördar vete.
i wonder if tom likes chinese food.	jag undrar om tom gillar kinesisk mat.
music is a language everyone can understand.	musik är ett språk som alla kan förstå.
what are you getting?	vad ska du ta?
i feel so stupid.	jag känner mig så dum.
he's a sephardic jew.	han är sefardisk jude.
are you watching me?	tittar du på mig?
she decided to move to belgium.	hon bestämde sig för att flytta till belgien.
tom probably has a girlfriend already.	tom har förmodligen redan en flickvän.
stand by.	håll dig i närheten.
politics is a dirty business.	politik är en smutsig affär.
don't allow yourself to become fat.	tillåt inte dig själv att bli tjock.
flight mode must be activated prior to departure.	flygplansläge måste aktiveras innan start.
tom wondered what mary would say to john.	tom undrade vad mary skulle säga till john.
he shook his head.	han skakade på huvudet.
can't you speak english?	kan du inte prata engelska?
tom said that he didn't kiss mary.	tom sa att han inte kysste mary.
children generally have a higher body temperature than adults.	barn har generellt sett en högre kroppstemperatur än vuxna.
i've been there a lot.	jag har varit där mycket.
tom claims that he was drunk.	tom hävdar att han var full.
i wonder if she'll recognize me after all these years.	jag undrar om hon kommer ihåg mig efter alla dessa år.
in the morning i like to drink coffee.	på morgonen gillar jag att dricka kaffe.
what are our options?	vad har du för alternativ?
i want to travel around the world.	jag vill resa runt om i världen.
let tom live.	låt tom leva.
"get rid of it, of course!" answered the farmer.	”gör dig av med det, förstås!” svarade bonden.
is tom mad?	är tom galen?
who are you avoiding?	vem undviker du?
i'm not so tired.	jag är inte så trött.
i ate them all.	jag åt upp alla.
i don't want you to laugh at me.	jag vill inte att du skrattar åt mig.
we need to get away.	vi måste komma bort.
i'm sorry about this.	jag är ledsen för det här.
i'm searching for any kind of work.	jag letar efter vilket arbete som helst.
they seem so happy.	de verkar så glada.
a helicopter circled over us.	en helicopter åkte runt över oss.
he carved me a wooden doll.	han gjorde mig en trädocka.
he's very understanding.	han är mycket förstående.
you owe me thirty bucks.	du är skyldig mig trettio spänn.
i have to go change.	jag måste gå och byta kläder.
tom kicked over a chair.	tom sparkade omkull en stol.
this is a bad translation.	det här är en dålig översättning.
i'll check on tom.	jag ska kolla till tom.
i'm looking for a job in boston.	jag letar efter ett jobb i boston.
tom held my hand.	tom höll min hand.
help yourself.	varsågod!
the kids traded baseball cards.	ungarna bytte basebollkort.
i'm giving it to tom.	jag tänker ge den till tom.
will you turn on the tv?	kan du sätta på teven?
asshole!	rövhål!
please let tom do his job.	var snäll och låt tom göra sitt jobb.
a lot of sugar cane is grown in cuba.	det odlas mycket sockerrör på kuba.
he is always throwing his weight around.	han håller jämt på och styr och ställer.
it's almost impossible.	det är nästan omöjligt.
it was dreadful weather.	det var ett förskräckligt väder.
we have to put off the game till next sunday.	vi blir tvungna att skjuta upp matchen till nästa söndag.
melanie killed a spider with her hand.	melanie dödade en spindel med handen.
he hates being told to hurry up.	han hatar att bli tillsagd att skynda sig.
the course is divided into four smaller units.	kursen är uppdelad i fyra mindre delar.
what was inside?	vad fanns inuti?
come meet some of your new classmates.	kom och träffa några av dina nya klasskamrater.
thanks for helping them.	tack för att du hjälpte dem.
are you sure?	är det säkert?
sami pretended to be a cop.	sami låtsades vara polis.
belief is the death of intelligence.	tro är döden av intelligens.
if you're going to kill me, i want to know why.	om du tänker döda mig så vill jag veta varför.
it's a little cold today.	det är lite kallt idag.
no, laurie isn't fat.	nej, laurie är inte fet.
this dog runs fast.	den här hunden springer snabbt.
he drowned in the river.	han drunknade i floden.
sami didn't waste any time.	sami slösade ingen tid.
i'll see to it.	jag ordnar det.
"where are the books?" "they're on the desk."	"var är böckerna?" "de ligger på skrivbordet."
yes, i understand. thank you.	ja, jag förstår. tack.
eat everything.	ät allting.
actually we wanted to go to the movies on saturday, but we changed our mind and stayed at home.	egentligen ville vi gå på bio i lördags, men vi ångrade oss och stannade hemma.
could you leave, tom?	kan du gå, tom?
now it's possible to learn japanese and korean on duolingo.	nu är det möjligt att lära sig japanska och koreanska på duolingo.
it would be great if we could eat together.	det skulle vara toppen om vi kunde äta tillsammans.
tom is effective.	tom är effektiv.
tom told mary to keep the door closed.	tom sade till mary att hålla dörren stängd.
what was it you asked her?	vad var det du frågade henne?
we're not going to do that.	vi tänker inte göra det.
tom is fearless.	tom är orädd.
my house is in the northern part of the city.	mitt hus ligger i norra delen av staden.
i don't think they'll accept these terms and conditions.	jag tror inte att de kommer att acceptera dessa villkor.
this dog is not mine.	den här hunden är inte min.
i didn't do anything at all.	jag gjorde ingenting alls.
he was intrigued.	han var fängslad.
the president has abolished slavery.	presidenten har avskaffat slaveriet.
it rained heavily, and consequently the baseball game was called off.	det ösregnade så att basebollmatchen ställdes in.
i learn the language by myself.	jag lär mig språket själv.
spring has come.	våren är kommen.
she is accustomed to sitting.	hon är van vid att sitta.
sami cleaned his closet.	sami städade sin garderob.
this dress may look funny, but i like it.	den här klänningen kan se lustig ut, men jag gillar den.
there are 187,888 lakes in finland.	i finland finns det 187 888 sjöar.
i think you're both right.	jag tror ni har rätt båda två.
it was very nice of you to help me with my homework.	det var snällt av dig att hjälpa mig med läxan.
her explanation was not convincing.	hennes förklaring var inte övertygande.
i don't apologize for anything.	jag ber inte om ursäkt för någonting.
in those days, i was still a student.	på den tiden var jag ännu studerande.
tom wanted to be a diplomat.	tom ville bli diplomat.
it's on your desk.	det står på din bänk.
you should thank him.	ni borde tacka honom.
i won't need you.	jag kommer inte att behöva er.
i'm a little sore.	jag är lite öm.
are you hurt, tom?	är du skadad, tom?
this is not a fish.	det här är inte fisk.
my car's in the garage.	min bil är i garaget.
never give up!	ge aldrig upp!
you have to clean your room.	du måste städa ditt rum.
columbus discovered america in 1492.	columbus upptäckte amerika 1492.
who wants some hot chocolate?	vem vill ha lite varm choklad?
can you whistle?	kan du vissla?
the european union is set up with the aim of ending the frequent and bloody wars between neighbours, which culminated in the second world war.	eu grundas för att få slut på de blodiga krigen mellan grannländerna, som gång på gång hade orsakat så mycket mänskligt lidande och till slut ledde till andra världskriget.
i should convert to islam.	jag borde konvertera till islam.
these aren't my keys.	det här är inte mina nycklar.
can we really trust tom?	kan vi verkligen lita på tom?
for heaven's sake.	för guds skull.
"where are you?" "in algeria."	"var är du?" "i algeriet."
do i have to pay you?	behöver jag betala dig?
she sleeps in the car.	hon sover i bilen.
it's not raining. it's snowing.	det regnar inte. det snöar.
one of us could win.	en av oss kunde vinna.
i have forgotten my glasses.	jag har glömt mina glasögon.
i'll buy both of those.	jag köper båda de där.
why is tom sleeping?	varför sover tom?
i hate spiders.	jag hatar spindlar.
i was in the area.	jag var på området.
would you like to meet tom?	skulle du vilja träffa tom?
there is something about him i don't like.	det är något med honom som jag inte gillar.
welcome to the asphalt jungle!	välkommen till asfaltdjungeln!
tom is out in the yard, raking leaves.	tom är ute på gården och räfsar löv.
he's a demon.	han är en demon.
we've run out of sugar.	sockret är slut.
there's a phone in the kitchen.	det finns en telefon i köket.
the fog has lifted.	dimman har lättat.
see you later!	vi ses!
what do you say to taking a cup of coffee?	vad sägs om en kopp kaffe?
have a good summer.	ha en bra sommar.
"how old are you?" "nineteen." "have you got an id?"	"hur gammal är du?" "nitton." "har du legitimation?"
tom's insane.	tom är vanvettig.
how fast can you run?	hur snabbt kan du springa?
this is a weird sentence.	det här är en konstig mening.
his answer amounts to a refusal.	hans svar är i princip ett nej.
you dropped your pencil.	du tappade din penna.
it's in my pocket.	det är i min ficka.
how come you ask?	hur kommer det sig att du frågar?
did i do all that?	gjorde jag allt det där?
i'm talking about your actions.	jag talar om ditt agerande.
adaptation is the key to survival.	anpassning är nyckeln till överlevnad.
tom seemed to be irresponsible.	tom såg ut att vara ansvarslös.
we're going back to boston.	vi åker tillbaka till boston.
hold onto your hats.	håll i era hattar.
get me my food.	hämta min mat.
can you sit up?	kan du sitta upprätt?
kiss her.	kyss henne.
no one has voted yet.	ingen har röstat ännu.
the house was in flames.	huset stod i fullan låga.
i didn't make it in time.	jag hann inte.
do you drink coffee every morning?	dricker ni kaffe varje morgon?
this is an old letter.	det här är ett gammalt brev.
what if he should happen to be late?	vad skulle hända om han råkade komma för sent?
the waterworks is located not far from my home.	vattenverket ligger inte långt från mitt hem.
i was being ironic.	jag var ironisk.
please wait five minutes.	var snäll och vänta i fem minuter.
she cleared her throat.	hon harklade sig.
don't you want to hear my side of the story?	vill du inte höra min sida av saken?
i need some water.	jag behöver lite vatten.
why can't tom talk?	varför kan inte tom prata?
the time will come when you will be sorry for it.	stunden kommer att komma då du känner dig skyldig för det.
no one here knows my name.	ingen här känner till mitt namn.
i like this watch.	jag gillar den här klockan.
we have to stop this.	vi måste få ett slut på det här.
where's the bag?	var är väskan?
don't disturb me while i'm studying.	stör mig inte när jag pluggar.
turn on the light, please.	tänder du lyset?
who gave you this document?	vem gav dig det här dokumentet?
tom helped us a lot.	tom hjälpte oss mycket.
i have another option.	jag har ett till alternativ.
isn't that tom's hat?	är inte det där toms hatt?
can you find them for me?	kan ni hitta dem åt mig?
it's all a big joke.	det hela är ett stort skämt.
how much food do we have left?	hur mycket mat har vi kvar?
i paid five dollars to him.	jag betalade honom fem dollar.
it's so fucking cold!	det är så jävla kallt!
how far can you go?	hur långt kan du gå?
emily will tell melanie.	emily ska berätta det för melanie.
it is rare for him to get angry.	han blir sällan arg.
this is the bullet that the doctor took out of tom.	det här är kulan som läkaren tog ut ur tom.
there isn't much wine left.	det finns inte mycket vin kvar.
you were getting undressed.	du höll på att klä av dig.
i think we should go.	jag tror att vi borde åka.
you must sleep now.	ni måste sova nu.
did someone follow us here?	följde någon efter oss hit?
class doesn't begin until eight-thirty.	lektionen börjar inte förrän halv nio.
it's not so easy as i thought it was.	det är inte så enkelt som jag trodde.
it's on your table.	den står på ditt bord.
yanni hates that tv commercial.	yanni hatar den tv-reklamen.
this camera was made in germany.	den här kameran är tillverkad i tyskland.
nothing is going on.	det är ingenting på gång.
my grandpa is sick.	min morfar är sjuk.
i washed the sheets.	jag tvättade lakanen.
why didn't you tell me you were married?	varför berättade du inte för mig att du är gift?
before long, the moon came out.	det tog inte lång tid innan månen kom fram.
the unicorn is a fabulous monster.	enhörningen är ett sagolikt väsen.
did i wake you up?	väckte jag dig?
could you explain how the dishwasher works?	kan du förklara hur diskmaskinen fungerar?
tom isn't dressed appropriately.	tom är inte lämpligt klädd.
like i said, i was busy.	som jag sa, jag var upptagen.
you look like a doll.	du ser ut som en docka.
he is an italian.	han är italienare.
to my surprise, he was good at singing.	till min förvåning var han bra på att sjunga.
are you new?	är du ny?
the difference is barely measurable.	skillnaden är knappt mätbar.
let's go up on deck.	kom så går vi upp på däck.
i work for three hours every sunday morning.	jag arbetar 3 timmar varje söndagsmorgon.
the blue whale is the largest marine mammal, and the largest mammal on earth.	blåvalen är det största marina däggdjuret, och det största däggdjuret på jorden.
you're my flower.	du är min blomma.
hail, guildbrother.	var hälsad, gillesbroder.
what does tom teach?	vad undervisar tom i?
the train is late because of the snow.	tåget är försenat på grund av snön.
i ordered chinese food.	jag beställde kinesiskt.
i am drinking coffee.	jag dricker kaffe.
what doesn't kill me makes me stronger.	det som inte dödar, härdar.
swedish nouns are generally divided into five declensions.	man brukar dela upp svenska substantiv i fem deklinationer.
i am thirty years old.	jag är trettio år gammal.
detroit is famous for its car industry.	detroit är känt för sin bilindustri.
my name's tom.	mitt namn är tom.
is there any food left?	finns det någon mat kvar?
he was shocked.	han var chockad.
tom displayed the contents of his wallet.	tom visade upp innehållet i sin plånbok.
stop shooting!	sluta skjuta!
did they say how?	sa de hur?
his mother sighed with relief.	hans mor suckade av lättnad.
tomorrow is the seventh.	i morgon är det den sjunde.
birds have wings.	fåglar har vingar.
i like green tea.	jag tycker om grönt te.
you are to observe traffic rules.	du skall följa trafikreglerna.
that's not why you're here.	det är inte därför du är här.
what are you celebrating?	vad firar du?
tom believes in fairies.	tom tror på älvor.
i rarely cry.	jag gråter sällan.
that's my secret.	det där är min hemlighet.
who lives here?	vem bor här?
he looks pale.	han ser blek ut.
i totally understand.	jag förstår helt och hållet.
but most of all he wondered what her name was.	men allra mest undrade han vad hon hette.
welcome aboard!	välkommen ombord!
i'll be at tom's.	jag kommer att vara hos tom.
tom asked mary some very personal questions that she refused to answer.	tom frågade mary några mycket personliga frågor som hon vägrade svara på.
i'd hoped to catch an earlier train.	jag hoppas att jag hinner med ett tidigt tåg.
you are impolite.	ni är oartiga.
you're out of excuses.	ni har slut på ursäkter.
we'll give it back.	vi ger tillbaka den.
the rocket is in orbit around the moon.	raketen är i omloppsbana runt månen.
there is a boy in this room.	det finns en pojke i det här rummet.
there's somebody out there.	det är någon där ute.
he's a journalist.	han är journalist.
how did tom do this?	hur gjorde tom det här?
the newspaper is free.	tidningen är gratis.
tom dove into the pool.	tom dök in i simbassängen.
tom has died.	tom har dött.
do we have bait?	har vi bete?
they're going to enlarge their store.	de kommer att bygga ut sin butik.
i feel responsible for what happened.	jag känner mig ansvarig för det inträffade.
it's probably haunted.	det är förmodligen hemsökt.
crime does not pay.	brott lönar sig inte.
algeria allies with russia and china.	algeriet allierar med ryssland och kina.
how much did you see?	hur mycket såg du?
how would tom know?	hur skulle tom veta det?
they look so happy.	de ser så lyckliga ut.
are you sure that it's safe?	är du säker på att det är säkert?
the wind blew all day.	vinden blåste hela dagen.
he was my boss.	han var min chef.
i've only been there once.	jag har bara varit där en gång.
tell me about tom.	berätta för mig om tom.
did you buy the medicine?	köpte du medicinen?
i hope that helps.	jag hoppas att det hjälper.
do whatever he tells you.	gör vad han än säger till dig.
he is an acrobat.	han är akrobat.
he failed.	han misslyckades.
good morning!	god morgon!
i don't have classes today.	jag har inga lektioner i dag.
why don't i have a friend like that?	varför har inte jag en sådan vän?
did you get tom's message?	fick ni toms meddelande?
it was actually my fault.	det var faktiskt mitt fel.
i must tell tom.	jag måste säga det till tom.
you've got a car, right?	du har bil, va?
be ruthless.	var hänsynslös.
he has proof that he's employed.	han har intyg på att han är anställd.
i like fruit.	jag tycker om frukt.
they speak english in new zealand.	man talar engelska i nya zeeland.
will you wait for us at the station?	väntar ni på oss vid stationen?
that was a great idea.	det var en jättebra idé.
i'll go get some.	jag går och hämtar lite.
get your hair cut.	gå och klipp dig.
i burned the trash.	jag brände avfallet.
tom is clever.	tom är smart.
do you know your neighbors?	känner du dina grannar?
he lay on his back.	han låg på rygg.
tom likes reality tv.	tom gillar reality-tv.
sami and layla never agree on anything.	sami och layla håller aldrig med om någonting.
tom drank tea.	tom drack te.
he lives in the closer of the two houses.	han bor i det hitre av de båda husen.
his story sounds true.	hans historia låter sann.
tom really irritates me.	tom irriterar mig verkligen.
did you have a nice evening?	hade ni en trevlig kväll?
i'm beautiful.	jag är vacker.
give tom some time.	ge tom lite tid.
tell me how to do it.	berätta för mig hur man gör.
it is similar.	det är likartat.
i have to fire tom.	jag måste sparka tom.
i suggest you duck.	jag föreslår att du duckar.
i forgot my bag.	jag glömde min väska.
she likes oranges.	hon gillar apelsiner.
you're unpredictable.	ni är oberäkneliga.
tom wants to sell his old car.	tom vill sälja sin gamla bil.
i need more help.	jag behöver mer hjälp.
tom, do you have your keys?	tom, har du dina nycklar?
she strangled him with her legs.	hon ströp honom med sina ben.
i just want them both to be happy.	jag vill bara att de båda ska vara lyckliga.
you know i need you.	ni vet att jag behöver er.
some kinds of birds can't fly.	vissa sorters fåglar kan inte flyga.
i will never go shopping with jason again.	jag ska aldrig gå och handla med jason igen.
twenty divided by two is ten.	tjugo dividerat med två är tio.
she always smiles.	hon ler alltid.
nothing's been done.	ingenting har gjorts.
mary is a real comedian and she seems to have an overwhelming supply of jokes up her sleeve.	mary är en riktig komiker och hon verkar ha ett outsinligt förråd av vitsar i bakfickan.
follow tom.	följ tom.
stop biting your nails.	sluta att bita på naglarna.
she continues to support the project.	hon fortsätter att stödja projektet.
he can't tell what is written on the paper.	han kan inte utläsa vad det står på pappret.
ziri has become a hunter.	ziri har blivit jägare.
i wrote to him for quite another reason.	jag skrev till honom av en helt annan anledning.
did you believe tom?	trodde du på tom?
wave after wave surged upon the beach.	våg efter våg böljade in på stranden.
am i disturbing you?	stör jag er?
we can't win.	vi kan inte vinna.
i read your report.	jag läste din rapport.
i speak a little scottish gaelic.	jag talar lite skotsk galiska.
he was hoping he had succeeded.	han hoppades att han hade lyckats.
thanks.	tack!
i shall stay here for the time being.	jag stannar här tillsvidare.
don't lean against the doors.	luta er inte mot dörrarna.
tom tried to surprise mary.	tom försökte överraska mary.
i understood.	jag fattar.
do you like tea with milk or lemon?	tycker du om te med mjölk eller citron?
i apologize for it.	jag ber om ursäkt för det.
i didn't actually see it myself.	jag såg det faktiskt inte själv.
i don't want to work under these conditions.	jag vill inte arbeta under dessa betingelser.
i greatly appreciate your advice.	jag uppskattar verkligen dina råd.
is there a bank near the station?	finns det en bank nära stationen?
did you enjoy that?	njöt du av det där?
did you eat breakfast?	åt ni frukost?
come back.	kom tillbaka!
viking helmets with horns aren't in style in scandinavia anymore.	vikingahjälmar med horn är inte längre på modet i skandinavien.
"i love you." "don't say that." "no, i'm serious."	"jag älskar dig." "säg inte det." "nej, jag är seriös."
i wonder whose scissors these are.	jag undrar vems sax det här är.
what are you staring at?	vad stirrar du på?
tom's behavior was peculiar.	tom beteende var märkligt.
did you paint this?	målade du den här?
i cooked dinner.	jag lagade kvällsmat.
was tom there, too?	var tom också där?
where's your jacket?	var är din jacka?
the man awakens.	mannen vaknar.
they have a newspaper.	de har en tidning.
the atmosphere was uncomfortable.	stämningen var obekväm.
who's first?	vem går först?
you can't replace tom.	du kan inte ersätta tom.
we had a lot of fun.	vi hade jätteroligt.
how do i use chopsticks?	hur använder man ätpinnar?
he's a teetotaler.	han är nykterist.
beyonce has given birth to a daughter.	beyoncé har fött en dotter.
it's the same one.	det är samma.
mary has broad shoulders.	mary har breda axlar.
delicious!	läckert!
i have trouble taking powdered medicine.	jag har problem med att pulvermedicin.
rest in peace.	vila i frid.
i'll get us a cab.	jag ordnar en taxi åt oss.
may i go?	får jag gå?
there was a knock on the door.	det knackade på dörren.
we caught her red-handed.	vi fångade henne på bar gärning.
we're married.	vi är gifta.
who's getting married?	vilka gifter sig?
i'm at the north gate.	jag är vid den norra grinden.
one of my friends is studying abroad.	en av mina vänner studerar utomlands.
mary lives in a trailer.	mary bor i en husvagn.
i am no thief.	jag är ingen tjuv.
women feel that men are often very complicated.	kvinnor känner att män ofta är väldigt komplicerade.
the strange fish was analyzed and dissected.	den underliga fisken analyserades och dissekerades.
it's good.	den är bra.
i can ride with tom.	jag kan åka med tom.
she broke the silence.	hon bröt tystnaden.
i like to dance with mary.	jag tycker om att dansa med mary.
love sucks.	kärlek suger.
we're different.	vi är annorlunda.
i always give something to the beggars.	jag ger alltid något till tiggarna.
are we stupid?	är vi korkade?
i'll handle this.	jag kommer att ta hand om det här.
i've already looked everywhere.	jag har redan letat överallt.
forty-eight sailors are on the ship.	det är fyrtioåtta sjömän på skeppet.
that was the last we saw of tom.	det var det sista vi såg av tom.
feel free to stay.	stanna gärna.
maria lives in helsinki.	maria bor i helsingfors.
it's cool.	den är cool.
you dream of becoming a millionaire.	du drömmer om att bli miljonär.
did you salt this?	har du saltat det här?
this regulation will take effect from next year.	denna förordning träder i kraft från och med nästa år.
come play with us.	kom och lek med oss.
there's no reason to worry.	det finns ingen orsak till oro.
lisa pretended not to hear.	lisa låtsades inte höra.
tom has a fever.	tom har feber.
i asked tom to stop.	jag bad tom att sluta.
give it to him.	ge den till honom.
